Vietnam, 
11.013054,105.722054
11.0193,105.746091
11.020973,105.781354
10.916664,105.858309
10.8825,105.959972
10.802773,106.0822
10.770554,106.203309
10.870554,106.176645
10.919445,106.145663
10.968709,106.152263
10.975,106.186627
10.970091,106.209027
10.9725,106.2124
11.053682,106.1894
11.093891,106.155518
11.086773,106.126454
11.2025,105.948582
11.220273,105.929963
11.296736,105.871136
11.364164,105.883036
11.435345,105.900118
11.548954,105.878645
11.594009,105.819072
11.617454,105.816436
11.661945,105.853145
11.670418,105.8751
11.667364,105.898172
11.651945,105.926363
11.644791,105.961282
11.720554,106.014282
11.759854,106.022263
11.776245,106.043372
11.773054,106.083163
11.717773,106.268645
11.681736,106.303054
11.676109,106.417191
11.665864,106.458209
11.709718,106.4483
11.793609,106.437736
11.817218,106.448582
11.885,106.461354
11.965354,106.421172
11.972636,106.419545
11.982082,106.445382
11.971527,106.628682
11.962773,106.698582
11.973818,106.726082
12,106.7471
12.073464,106.7892
12.067218,106.856936
12.064654,106.907345
12.074718,106.955836
12.0825,106.974709
12.139445,107.052754
12.177773,107.081936
12.215827,107.110809
12.273745,107.162763
12.287218,107.189972
12.303609,107.238591
12.322773,107.296372
12.3318,107.353727
12.312773,107.378309
12.287773,107.397772
12.253491,107.423391
12.254545,107.438936
12.338609,107.534145
12.3593,107.549909
12.554445,107.595263
12.603882,107.593045
12.810827,107.563182
12.864164,107.519709
12.884164,107.509427
12.9525,107.492482
13.020554,107.483318
13.311336,107.606463
13.381664,107.636382
13.538036,107.629245
13.595273,107.588591
13.794364,107.464191
13.841391,107.470263
13.931709,107.4735
14.004582,107.383045
14.020418,107.370527
14.1284,107.344082
14.164718,107.360682
14.240554,107.384709
14.292427,107.389145
14.337354,107.375454
14.420273,107.409145
14.435036,107.432263
14.422218,107.456718
14.435554,107.480818
14.482218,107.504436
14.550136,107.533245
14.657082,107.558454
14.7018,107.553309
14.708618,107.5466
14.724445,107.549427
14.8475,107.551654
14.918891,107.540118
14.971454,107.479982
15.023191,107.468036
15.035827,107.473309
15.045554,107.586791
15.063609,107.615818
15.128054,107.640545
15.205273,107.670254
15.226482,107.681582
15.234718,107.684709
15.270827,107.695254
15.288609,107.684709
15.383891,107.596363
15.468327,107.517491
15.503336,107.420254
15.556391,107.3611
15.647782,107.263045
15.765418,107.183036
15.790345,107.1763
15.858954,107.203945
15.866391,107.229291
15.858473,107.255545
15.918473,107.401936
16.003891,107.463609
16.0225,107.475818
16.027336,107.4753
16.080482,107.460818
16.0675,107.382472
16.062773,107.362491
16.056109,107.337618
16.160827,107.191654
16.183745,107.165118
16.205827,107.152072
16.233082,107.148609
16.263336,107.147218
16.300818,107.093891
16.306382,107.030545
16.307364,107.010554
16.299718,106.9872
16.337218,106.983872
16.517773,106.895263
16.536873,106.875118
16.532354,106.843382
16.506664,106.829163
16.473045,106.813872
16.4325,106.782491
16.420345,106.756645
16.439718,106.702209
16.4593,106.6847
16.642218,106.575272
16.677427,106.560672
16.888745,106.555254
16.938045,106.555254
16.996936,106.5611
16.967354,106.5202
16.992491,106.441227
17.011364,106.4342
17.064718,106.420536
17.169164,106.340818
17.246454,106.248663
17.261664,106.211645
17.304718,106.151382
17.3568,106.090127
17.406664,106.039145
17.426109,106.021382
17.529164,105.931927
17.584436,105.892209
17.618609,105.860809
17.6402,105.832836
17.653327,105.795536
17.670409,105.7543
17.814445,105.681927
17.9875,105.627245
18.048609,105.582209
18.168327,105.504436
18.157564,105.399982
18.168191,105.357336
18.186109,105.332209
18.196682,105.321927
18.242773,105.325827
18.256145,105.308518
18.2525,105.267072
18.334445,105.183318
18.437982,105.108727
18.470273,105.103872
18.517636,105.115254
18.598745,105.150272
18.61,105.194136
18.636727,105.193172
18.673327,105.1461
18.696664,105.105554
18.720827,105.029982
18.744164,104.935254
18.796245,104.744563
18.836936,104.672209
18.902982,104.573036
18.941664,104.549145
18.972218,104.530263
19.1109,104.278809
19.111327,104.220754
19.145064,104.226018
19.190545,104.174572
19.238609,104.061091
19.2334,104.006927
19.309509,103.877682
19.392082,103.971645
19.418464,104.041363
19.478609,104.103863
19.522636,104.105945
19.558609,104.101645
19.569164,104.078945
19.599445,104.050536
19.620273,104.038882
19.669118,104.021418
19.693736,104.038827
19.682773,104.058318
19.6643,104.087418
19.662636,104.141591
19.681673,104.149991
19.687491,104.158736
19.703191,104.220536
19.704436,104.246091
19.669854,104.422763
19.645273,104.449845
19.605409,104.519572
19.605554,104.568882
19.616664,104.644227
19.647909,104.654972
19.687218,104.667209
19.707909,104.679282
19.747982,104.717
19.756945,104.770263
19.787427,104.832
19.844164,104.849072
19.863882,104.826518
19.863991,104.790154
19.891936,104.7897
19.938882,104.842209
19.973327,104.899427
19.988409,104.962718
20.003954,104.977827
20.098327,104.984709
20.183464,104.939282
20.225064,104.844918
20.313054,104.715
20.341527,104.709018
20.416036,104.615463
20.414227,104.552754
20.407082,104.5204
20.424164,104.420536
20.435273,104.393736
20.454582,104.381509
20.504445,104.454436
20.517218,104.5161
20.590273,104.600536
20.618609,104.629972
20.652354,104.641891
20.665136,104.614418
20.672636,104.588172
20.712218,104.501927
20.778327,104.409418
20.843154,104.344218
20.877082,104.330691
20.8943,104.306227
20.928882,104.230272
20.943327,104.194427
20.9759,104.103945
20.8525,103.856645
20.784445,103.778872
20.737218,103.771382
20.670964,103.738382
20.659582,103.687054
20.681518,103.673318
20.717909,103.637354
20.740273,103.6054
20.793891,103.424991
20.802136,103.360209
20.805554,103.335272
20.830273,103.2186
20.8442,103.189091
20.843882,103.177127
20.893609,103.117818
20.955554,103.088045
21.045973,103.042072
21.163327,102.937272
21.168054,102.914436
21.228882,102.919072
21.252218,102.8886
21.381936,102.904709
21.440273,102.904982
21.430136,102.876918
21.466109,102.890682
21.528609,102.944427
21.555554,102.969018
21.5743,102.987472
21.606945,102.990809
21.7127,102.987409
21.745136,102.970545
21.718327,102.861363
21.670691,102.754009
21.658536,102.675191
21.734854,102.654145
21.760554,102.660536
21.786809,102.661654
21.853054,102.647218
21.928473,102.604427
21.9368,102.585536
21.940554,102.555254
21.947773,102.526645
21.9668,102.501782
22.066936,102.448027
22.115691,102.422763
22.210136,102.304836
22.2159,102.277418
22.242491,102.238309
22.300409,102.184909
22.326109,102.180118
22.384718,102.153736
22.396282,102.140745
22.423327,102.167482
22.491664,102.269709
22.609164,102.388891
22.688327,102.426091
22.753745,102.454082
22.771873,102.474436
22.7718,102.500963
22.765,102.521382
22.684164,102.702472
22.592882,102.870009
22.554436,102.8806
22.482291,102.928936
22.436518,103.0304
22.440827,103.064709
22.5425,103.166927
22.794509,103.333672
22.792082,103.3597
22.771873,103.394991
22.704745,103.426609
22.639164,103.459854
22.610273,103.486927
22.591527,103.507627
22.584364,103.522418
22.587427,103.537282
22.648609,103.583736
22.698191,103.566382
22.779445,103.6181
22.782873,103.653809
22.651391,103.794145
22.607773,103.826945
22.577218,103.8611
22.537773,103.909418
22.503873,103.968663
22.523245,104.008582
22.552636,104.016518
22.573191,104.011372
22.686382,104.033872
22.740554,104.061509
22.798118,104.1113
22.827882,104.259154
22.773745,104.254582
22.734927,104.265182
22.687264,104.358991
22.6875,104.3747
22.741936,104.461109
22.770973,104.494291
22.809164,104.539427
22.83,104.573609
22.826173,104.6513
22.813054,104.673454
22.818054,104.731927
22.9625,104.852209
23.099264,104.824536
23.180273,104.907491
23.304445,105.258045
23.324164,105.358727
23.280691,105.399154
23.183073,105.5274
23.162427,105.5513
23.134718,105.561372
23.110554,105.565263
23.096782,105.565691
23.063327,105.573909
23.062909,105.639263
23.020136,105.7686
23.004718,105.788882
22.956382,105.835818
22.912527,105.877063
22.938191,105.991363
22.952809,106.005691
22.982491,106.014845
22.990827,106.077491
22.988609,106.134718
22.973882,106.195609
22.955554,106.223591
22.938609,106.237491
22.904164,106.252063
22.872145,106.256136
22.857082,106.294291
22.853327,106.341236
22.890554,106.4736
22.905691,106.500263
22.932673,106.521963
22.913609,106.592482
22.866945,106.7029
22.821945,106.757491
22.803054,106.778318
22.763882,106.787491
22.630554,106.717482
22.615064,106.631436
22.604927,106.607127
22.456818,106.551709
22.431382,106.553309
22.414954,106.557127
22.3493,106.564982
22.335418,106.586654
22.328745,106.6186
22.328818,106.648736
22.216318,106.6922
22.204164,106.670054
22.174718,106.668591
22.030827,106.693309
21.999718,106.737491
21.979164,106.863309
21.970554,106.901654
21.939164,107.0211
21.921382,107.044009
21.889509,107.042491
21.849854,107.015827
21.820618,107.024018
21.711518,107.213609
21.7102,107.253391
21.724164,107.2686
21.729373,107.298591
21.681382,107.3404
21.662218,107.348327
21.605264,107.362727
21.598327,107.384718
21.586382,107.531791
21.61,107.660263
21.627218,107.710118
21.644718,107.738309
21.656245,107.7561
21.666936,107.783054
21.647773,107.860818
21.588891,107.916654
21.544445,107.947482
21.535691,107.968882
21.542409,107.990018
21.539345,107.997845
21.521382,108.0336
21.486664,108.064291
21.439027,107.931436
21.458254,107.915463
21.484227,107.926782
21.520136,107.9154
21.532154,107.891936
21.525554,107.854845
21.477218,107.794436
21.391936,107.704436
21.292773,107.594782
21.29,107.480818
21.305618,107.466309
21.325964,107.416509
21.265273,107.366927
21.182354,107.362827
21.135,107.382472
21.095018,107.370227
21.0577,107.362663
21.025691,107.370672
21.008818,107.349982
21.004164,107.3111
21.001527,107.258745
20.993882,107.232209
20.925,107.154427
20.945264,107.0789
20.950409,107.074218
20.986245,107.0843
21.0143,107.1172
21.036145,107.146509
20.996664,107.0372
20.950564,107.014645
20.945545,106.977763
20.953373,106.941463
20.966745,106.908391
20.988209,106.876727
20.960409,106.870391
20.949854,106.8908
20.934382,106.921054
20.904818,106.942872
20.902709,106.882354
20.871182,106.862627
20.916782,106.835918
20.935782,106.775391
20.960618,106.800609
20.969927,106.823036
21.011664,106.809709
21.026109,106.791372
21.021664,106.646654
21.017482,106.643572
21.007564,106.670963
20.982227,106.667018
20.954082,106.6797
20.944227,106.707836
20.933882,106.758882
20.886527,106.741618
20.876673,106.695872
20.840273,106.743045
20.799718,106.725272
20.740554,106.779982
20.699164,106.776927
20.638464,106.680818
20.626036,106.6479
20.632591,106.597209
20.590827,106.623027
20.3425,106.584018
20.287009,106.567082
20.311954,106.5232
20.299664,106.495509
20.297218,106.535263
20.271245,106.557345
20.240136,106.527627
20.225554,106.504709
20.215273,106.481372
20.208609,106.461091
20.156936,106.341936
20.128327,106.325
20.009445,106.207491
19.986382,106.174572
19.977218,106.156518
19.970754,106.105809
20.028882,106.1119
19.961727,106.077136
19.985545,106.039145
19.990891,106.034
19.990827,106.025272
19.923045,105.956791
19.793054,105.912772
19.601109,105.808591
19.5659,105.817972
19.455827,105.804154
19.398191,105.784845
19.356382,105.789145
19.274227,105.806427
19.226382,105.742754
19.064718,105.643736
19.003891,105.610527
18.977218,105.613872
18.890654,105.638563
18.856664,105.695954
18.785827,105.746372
18.765273,105.756509
18.683254,105.757491
18.662491,105.749709
18.6725,105.771382
18.671109,105.794145
18.621382,105.813309
18.592773,105.8261
18.563054,105.841091
18.518609,105.870245
18.499164,105.883609
18.472218,105.908863
18.316109,106.056091
18.294164,106.083054
18.270273,106.113036
18.265,106.142209
18.261664,106.162072
18.214718,106.252491
18.199436,106.270263
18.038054,106.443863
18.009582,106.462345
17.974164,106.491372
17.956109,106.509918
17.872909,106.453736
17.845,106.4447
17.741664,106.424991
17.691109,106.494982
17.552773,106.586645
17.466936,106.642763
17.399718,106.698863
17.343327,106.753872
17.288891,106.821663
17.200273,106.939972
17.145,107.018054
17.116527,107.059982
