 North Korea, 
40.2968,124.688718
40.307009,124.710991
40.396664,124.812472
40.470373,124.885127
40.459164,124.9622
40.460682,125.039982
40.494164,125.024709
40.5375,125.042763
40.585264,125.140545
40.647491,125.2861
40.649991,125.314991
40.639991,125.369136
40.6538,125.412691
40.703327,125.457491
40.741382,125.553036
40.755827,125.603863
40.8026,125.649845
40.852145,125.688582
40.859973,125.703109
40.877627,125.932545
40.896936,126.011791
41.034718,126.124691
41.152773,126.279163
41.172627,126.286227
41.214436,126.309982
41.275691,126.366927
41.319164,126.4111
41.342491,126.437763
41.357218,126.4561
41.366727,126.484
41.389991,126.510272
41.570827,126.583182
41.589718,126.568045
41.611764,126.566082
41.660545,126.645536
41.6911,126.712772
41.708045,126.795536
41.735827,126.8479
41.761382,126.868863
41.792218,126.904709
41.796109,126.927618
41.708327,127.048027
41.6911,127.060809
41.6435,127.057036
41.621373,127.100809
41.593609,127.134991
41.529991,127.159418
41.472491,127.270827
41.418054,127.620818
41.413127,127.694154
41.409991,127.835272
41.424164,127.871091
41.447345,127.928027
41.415827,128.011654
41.389436,128.044127
41.371791,128.114336
41.381236,128.152909
41.407491,128.192672
41.4411,128.222472
41.530273,128.2822
41.582836,128.300245
41.636936,128.269436
41.650409,128.254272
41.663882,128.226627
41.676382,128.203854
41.714573,128.155672
41.803045,128.098436
41.884991,128.068845
41.910545,128.060791
41.981645,128.050109
42.001245,128.056636
42.038327,128.275527
42.039718,128.336091
42.0375,128.361354
42.0286,128.422482
42.012773,128.4467
41.997627,128.472882
41.995545,128.497054
42.000273,128.570254
42.021027,128.683091
42.029718,128.844972
42.022764,128.895536
42.027354,128.926927
42.052073,128.949263
42.0784,128.958082
42.094191,129.0141
42.094991,129.016691
42.139436,129.114409
42.168054,129.152463
42.221309,129.211209
42.265827,129.209409
42.375827,129.246063
42.446236,129.349272
42.432773,129.445118
42.386936,129.514709
42.435818,129.695527
42.452491,129.716627
42.4754,129.728291
42.522218,129.732882
42.547491,129.725509
42.713882,129.753309
42.853609,129.807463
42.942482,129.847045
42.991791,129.877672
43.004573,129.904591
43.0061,129.929218
42.9954,129.947554
42.958045,130.034145
42.906654,130.193163
42.887945,130.251418
42.831664,130.250272
42.811664,130.243291
42.786245,130.236218
42.714154,130.246782
42.6418,130.328445
42.617491,130.376618
42.568054,130.514163
42.537218,130.522491
42.443045,130.567472
42.427145,130.586491
42.421864,130.604372
42.411373,130.632754
42.375273,130.659009
42.339991,130.652772
42.318118,130.655045
42.292209,130.697418
42.279918,130.682345
42.254582,130.599682
42.278882,130.596263
42.305064,130.5797
42.323882,130.500272
42.324582,130.472882
42.311936,130.420809
42.167773,130.208309
42.069718,130.087736
41.979945,129.984127
41.883873,129.949709
41.756736,129.847245
41.760964,129.808854
41.755964,129.7822
41.730545,129.760527
41.645691,129.697872
41.625691,129.688718
41.549718,129.664154
41.528191,129.660518
41.479573,129.666645
41.458327,129.676636
41.435827,129.696227
41.421664,129.721891
41.407209,129.753327
41.377418,129.803591
41.325827,129.788036
41.300273,129.769718
41.180545,129.719682
41.142773,129.715518
41.112209,129.713863
41.003882,129.718563
40.980136,129.723018
40.958882,129.739136
40.941864,129.7522
40.859854,129.727327
40.830691,129.702045
40.8336,129.664154
40.827218,129.6015
40.821245,129.564563
40.6793,129.215163
40.585545,129.170536
40.565618,129.171082
40.560127,129.170245
40.535409,129.155945
40.4779,129.107882
40.462218,129.077882
40.461654,129.055545
40.450409,128.977754
40.424709,128.941927
40.397627,128.914336
40.376518,128.8936
40.3643,128.873291
40.341664,128.812191
40.334709,128.791072
40.272764,128.636654
40.174164,128.598018
40.0536,128.332454
40.023609,128.184145
40.022764,128.141082
40.027209,128.111909
40.033882,128.055236
40.037218,128.001372
39.971654,127.933591
39.910754,127.885745
39.885945,127.869045
39.8461,127.7272
39.811245,127.612336
39.782209,127.560527
39.739573,127.517627
39.712836,127.503118
39.644718,127.504436
39.456654,127.530682
39.427218,127.535809
39.327218,127.556636
39.311136,127.560191
39.302982,127.528318
39.342209,127.524291
39.359018,127.536236
39.388745,127.531654
39.427773,127.497836
39.420064,127.457482
